1,EPL2324,35,28/04/2024,Tottenham Stadium,Michael Oliver
2,EPL2324,36,05/05/2024,Anfield,Paul Tierney
3,EPL2324,34,15/05/2024,Tottenham Stadium,Chris Kavanagh
4,EPL2324,1,12/08/2023,Turf Moor,Craig Pawson
5,EPL2324,1,12/08/2023,Emirates Stadium,Michael Oliver
6,EPL2324,1,12/08/2023,Bramall Lane,John Brooks
7,EPL2324,1,12/08/2023,Vitality Stadium,Peter Bankes
8,EPL2324,1,12/08/2023,American Express Stadium,David Coote
9,EPL2324,1,12/08/2023,Goodison Park,Stuart Attwell
10,EPL2324,1,12/08/2023,St. James' Park,Andy Madley
11,EPL2324,1,13/08/2023,Gtech Community Stadium,Robert Jones
12,EPL2324,2,19/08/2023,Craven Cottage,Darren Bond
13,EPL2324,2,19/08/2023,Anfield,Thomas Bramall
14,EPL2324,2,19/08/2023,Molineux Stadium,Andy Madley
15,EPL2324,2,19/08/2023,Tottenham Hotspur Stadium,Michael Oliver
16,EPL2324,2,19/08/2023,Etihad Stadium,Robert Jones
17,EPL2324,2,20/08/2023,Villa Park,Anthony Taylor
18,EPL2324,2,20/08/2023,London Stadium,John Brooks
19,EPL2324,2,20/08/2023,Etihad Stadium,Robert Jones
20,EPL2324,2,22/08/2023,Selhurst Park,David Coote
21,EPL2324,3,26/08/2023,Vitality Stadium,Tim Robinson
22,EPL2324,3,26/08/2023,Emirates Stadium,Paul Tierney
23,EPL2324,3,26/08/2023,Gtech Community Stadium,Peter Bankes
24,EPL2324,3,26/08/2023,Goodison Park,Craig Pawson
25,EPL2324,3,26/08/2023,Old Trafford,Stuart Attwell
26,EPL2324,3,26/08/2023,American Express Stadium,Anthony Taylor
27,EPL2324,3,27/08/2023,Turf Moor,Michael Salisbury
28,EPL2324,3,27/08/2023,Bramall Lane,Jarred Gillett
29,EPL2324,3,27/08/2023,St. James' Park,John Brooks
30,EPL2324,4,02/09/2023,Bramall Lane,Andy Madley
31,EPL2324,4,02/09/2023,Gtech Community Stadium,Robert Madley
32,EPL2324,4,02/09/2023,Turf Moor,Darren England
33,EPL2324,4,02/09/2023,Stamford Bridge,Tim Robinson
34,EPL2324,4,02/09/2023,Etihad Stadium,Michael Oliver
35,EPL2324,4,02/09/2023,American Express Stadium,Stuart Attwell
36,EPL2324,4,02/09/2023,Kenilworth Road,Paul Tierney
37,EPL2324,4,03/09/2023,Selhurst Park,Robert Jones
38,EPL2324,4,03/09/2023,Anfield,Simon Hooper
39,EPL2324,4,03/09/2023,Emirates Stadium,Anthony Taylor
40,EPL2324,5,16/09/2023,Molineux Stadium,Michael Oliver
41,EPL2324,5,16/09/2023,Villa Park,Darren England
42,EPL2324,5,16/09/2023,Craven Cottage,Michael Salisbury
43,EPL2324,5,16/09/2023,Old Trafford,Jarred Gillett
44,EPL2324,5,16/09/2023,Tottenham Hotspur Stadium,Peter Bankes
45,EPL2324,5,16/09/2023,London Stadium,Andy Madley
46,EPL2324,5,16/09/2023,St. James' Park,Craig Pawson
47,EPL2324,5,17/09/2023,Vitality Stadium,David Coote
48,EPL2324,5,17/09/2023,Goodison Park,Simon Hooper
49,EPL2324,5,18/09/2023,The City Ground,Robert Jones
50,EPL2324,6,23/07/2023,Selhurst Park,Paul Tierney
51,EPL2324,6,23/07/2023,Kenilworth Road,Josh Smith
52,EPL2324,6,23/07/2023,Etihad Stadium,Anthony Taylor
53,EPL2324,6,23/07/2023,Gtech Community Stadium,Michel Oliver
54,EPL2324,6,24/07/2023,Turf Moor,Tony Harrington
55,EPL2324,6,24/07/2023,Emirates Stadium,Robert Jones
56,EPL2324,6,24/07/2023,American Express Stadium,John Brooks
57,EPL2324,6,24/07/2023,Stamford Bridge,Jarred Gillett
58,EPL2324,6,24/07/2023,Anfield,Chris Kavanagh
59,EPL2324,6,24/07/2023,Bramall Lane,Stuart Attwell
60,EPL2324,7,30/09/2023,Villa Park,Andy Madley
61,EPL2324,7,30/09/2023,Vitality Stadium,Michael Salisbury
62,EPL2324,7,30/09/2023,Goodison Park,Anthony Taylor
63,EPL2324,7,30/09/2023,Old Trafford,Chris Kavanagh
64,EPL2324,7,30/09/2023,St. James' Park,Thomas Bramall
65,EPL2324,7,30/09/2023,London Stadium,Graham Scott
66,EPL2324,7,30/09/2023,Molineux Stadium,Craig Pawson
67,EPL2324,7,30/09/2023,Tottenham Hotspur Stadium,Simon Hooper
68,EPL2324,7,01/10/2023,The City Ground,Paul Tierney
69,EPL2324,7,02/10/2023,Craven Cottage,Tim Robinson
70,EPL2324,7,03/10/2023,Kenilworth Road,Peter Bankes
71,EPL2324,8,07/10/2023,Kenilworth Road,John Brooks
72,EPL2324,8,07/10/2023,Turf Moor,Stuart Attwell
73,EPL2324,8,07/10/2023,Goodison Park,David Coote
74,EPL2324,8,07/10/2023,Craven Cottage,Samuel Barrott
75,EPL2324,8,07/10/2023,Old Trafford,Andy Madley
76,EPL2324,8,07/10/2023,Selhurst Park,Craig Pawson
77,EPL2324,8,08/10/2023,American Express Stadium,Anthony Taylor
78,EPL2324,8,08/10/2023,London Stadium,Peter Bankes
79,EPL2324,8,08/10/2023,Molineux Stadium,Robert Jones
80,EPL2324,8,08/10/2023,Emirates Stadium,Michael Oliver
81,EPL2324,9,21/10/2023,Anfield,Craig Pawson
82,EPL2324,9,21/10/2023,Vitality Stadium,Vitality Stadium
83,EPL2324,9,21/10/2023,Gtech Community Stadium,Josh Smith
84,EPL2324,9,21/10/2023,Etihad Stadium,Robert Jones
85,EPL2324,9,21/10/2023,St. James' Park,Tim Robinson
86,EPL2324,9,21/10/2023,The City Ground,Samuel Barrott
87,EPL2324,9,21/10/2023,Stamford Bridge,Chris Kavanagh
88,EPL2324,9,21/10/2023,Bramall Lane,Michael Oliver
89,EPL2324,9,22/10/2023,Villa Park,David Coote
90,EPL2324,9,23/10/2023,Tottenham Hotspur Stadium,Anthony Taylor
91,EPL2324,10,27/10/2023,Selhurst Park,Andy Madley
92,EPL2324,10,28/10/2023,Stamford Bridge,Simon Hooper
93,EPL2324,10,28/10/2023,Emirates Stadium,Tim Robinson
94,EPL2324,10,28/10/2023,Vitality Stadium,Samuel Barrott
95,EPL2324,10,28/10/2023,Molineux Stadium,Anthony Taylor
96,EPL2324,10,29/10/2023,London Stadium,Stuart Attwell
97,EPL2324,10,29/10/2023,Villa Park,John Brooks
98,EPL2324,10,29/10/2023,American Express Stadium,Michael Salisbury
99,EPL2324,10,29/10/2023,Anfield,Chris Kavanagh
100,EPL2324,10,29/10/2023,Old Trafford,Paul Tierney
101,EPL2324,11,04/11/2023,Craven Cottage,John Brooks
102,EPL2324,11,04/11/2023,Gtech Community Stadium,Thomas Bramall
103,EPL2324,11,04/11/2023,Turf Moor,Peter Bankes
104,EPL2324,11,04/11/2023,Goodison Park,Tim Robinson
105,EPL2324,11,04/11/2023,Etihad Stadium,Craig Pawson
106,EPL2324,11,04/11/2023,Bramall Lane,Robert Jones
107,EPL2324,11,04/11/2023,St. James' Park,Stuart Attwell
108,EPL2324,11,05/11/2023,The City Ground,Jarred Gillett
109,EPL2324,11,05/11/2023,Kenilworth Road,Andy Madley
110,EPL2324,11,06/11/2023,Tottenham Hotspur Stadium,Michel Oliver
111,EPL2324,12,11/11/2023,Molineux Stadium,Tim Robinson
112,EPL2324,12,11/11/2023,Emirates Stadium,Michael Oliver
113,EPL2324,12,11/11/2023,Selhurst Park,Samuel Barrott
114,EPL2324,12,11/11/2023,Old Trafford,Graham Scott
115,EPL2324,12,11/11/2023,Vitality Stadium,Chris Kavanagh
116,EPL2324,12,12/11/2023,Villa Park,Simon Hooper
