1,esp000,swe003,26
1,fra000,arg012,25
1,bra000,eng041,4
1,jap000,can002,37
2,ukr000,ukr003,62
2,eng000,ukr004,16
2,ita000,swe004,20
2,gha000,uru007,38
3,ger000,ned011,42
3,nor000,mne001,68
3,bel000,mne002,23
3,bra001,gha001,20
4,eng001,svk002,88
4,bra002,hun002,72
4,eng002,mar002,32
4,srb000,hun003,73
5,bra003,col003,43
5,eng003,esp018,72
5,esp001,can003,63
5,eng004,ned012,17
6,eng005,aut003,70
6,arg000,chi001,80
6,ecu000,ita008,67
6,eng006,esp000,12
7,eng007,fra000,68
7,eng008,bra000,10
7,ukr001,jap000,45
7,sen000,ukr000,49
8,bra004,eng000,54
8,ned000,ita000,42
8,eng009,gha000,11
8,sco000,ger000,86
9,kor000,nor000,45
9,arg001,bel000,1
9,col000,bra001,29
9,por000,eng001,18
10,egy000,bra002,63
10,ned001,eng002,4
10,hun000,srb000,25
10,eng010,bra003,27
11,eng011,eng003,80
11,uru000,esp001,60
11,bra005,eng004,45
11,por001,eng005,35
12,eng012,arg000,12
12,sui000,ecu000,15
12,eng013,eng006,43
12,ned002,eng007,4
13,cro000,eng008,74
13,esp002,mne001,81
13,por002,sen000,81
13,bel001,bra004,80
14,eng014,ned000,29
14,eng015,eng009,38
14,bel002,sco000,44
14,arg002,kor000,57
15,nor001,arg001,87
15,cmr000,col000,70
15,eng016,por000,3
15,fra001,egy000,9
16,eng017,ned001,70
16,arg003,hun000,29
16,bra006,eng010,36
16,eng018,eng011,64
17,por003,uru000,81
17,arg004,bra005,61
17,eng019,por001,15
17,den000,eng012,66
18,eng020,sui000,36
18,eng021,eng013,14
18,ita001,ned002,50
18,arg005,cro000,72
19,bra007,esp002,65
19,swe000,por002,35
19,eng022,bel001,34
19,bra008,eng014,41
20,jap001,eng015,15
20,ger001,bel002,62
20,arg006,arg002,66
20,uru001,nor001,62
21,wal000,cmr000,44
21,ukr002,eng016,86
21,ger002,fra001,12
21,fra002,eng017,52
22,esp003,arg003,61
22,fra003,bra006,58
22,fra004,eng018,59
22,uru002,por003,18
23,ger003,arg004,80
23,eng023,eng019,42
23,cro001,den000,4
23,bra009,eng020,82
24,bra010,eng021,75
24,bra011,ita001,69
24,aut000,arg005,37
24,ger004,bra007,69
25,esp004,swe000,39
25,uru003,eng022,63
25,fra005,bra008,44
25,por004,jap001,48
26,ger005,ger001,46
26,esp005,arg006,87
26,esp006,uru001,15
26,por005,wal000,55
27,ned003,ukr002,19
27,bra012,ger002,24
27,esp007,fra002,70
27,pol000,esp003,90
28,slo000,fra003,13
28,esp008,fra004,52
28,uru004,uru002,57
28,uru005,ger003,49
29,mne000,eng023,81
29,arg007,cro001,2
29,esp009,bra009,75
29,esp010,bra010,24
30,esp011,bra011,18
30,fra006,aut000,65
30,esp012,ger004,33
30,ned004,esp004,25
31,arg008,uru003,12
31,ger006,fra005,71
31,fra007,por004,19
31,kor001,ger005,13
32,ned005,esp005,43
32,eng024,esp006,39
32,can000,por005,47
32,ger007,ned003,80
33,ger008,bra012,52
33,aut001,esp007,89
33,ger009,pol000,73
33,ger010,slo000,47
34,ger011,esp008,22
34,ger012,uru004,64
34,fra008,uru005,54
34,eng025,mne000,1
35,sui001,arg007,86
35,ger013,esp009,76
35,ger014,esp010,26
35,ned006,esp011,55
36,ger015,fra006,53
36,aut002,esp012,17
36,eng026,ned004,90
36,ger016,arg008,68
37,ger017,ger006,49
37,ger018,fra007,6
37,ger019,kor001,55
37,ger020,ned005,70
38,ger021,eng024,70
38,bur000,can000,23
38,ecu001,ger007,76
38,sui002,ger008,30
39,esp013,aut001,28
39,ned007,ger009,11
39,ger022,ger010,86
39,cro002,ger011,34
40,ger023,ger012,1
40,mar000,fra008,27
40,sui003,eng025,78
40,fra009,sui001,58
41,ita002,ger013,7
41,ned008,ger014,74
41,tur000,ned006,5
41,col001,ger015,82
42,ned009,aut002,63
42,ita003,eng026,76
42,ita004,ger016,66
42,bra013,ger017,36
43,ita005,ger018,65
43,fra010,ger019,36
43,chi000,ger020,16
43,arg009,ger021,66
44,ita006,bur000,52
44,mar001,ecu001,86
44,fra011,sui002,81
44,svk000,esp013,16
45,bra014,ned007,16
45,por006,ger022,19
45,por007,cro002,53
45,kor002,ger023,56
46,por008,mar000,19
46,fra012,sui003,64
46,fra013,fra009,78
46,esp014,ita002,79
47,uru006,ned008,72
47,esp015,tur000,13
47,por009,col001,20
47,arg010,ned009,26
48,aus000,ita003,76
48,swe001,ita004,41
48,pol001,bra013,24
48,fin000,ita005,50
49,esp016,fra010,4
49,eng027,chi000,26
49,bra015,arg009,90
49,eng028,ita006,56
50,eng029,mar001,49
50,fra014,fra011,37
50,fra015,svk000,63
50,eng030,bra014,66
51,eng031,por006,14
51,esp017,por007,39
51,pol002,kor002,31
51,eng032,por008,35
52,fra016,fra012,18
52,eng033,fra013,28
52,eng034,esp014,48
52,eng035,uru006,7
53,eng036,esp015,65
53,ita007,por009,88
53,eng037,arg010,30
53,eng038,aus000,79
54,fra017,swe001,77
54,jam000,pol001,15
54,arg011,fin000,30
54,eng039,esp016,11
55,col002,eng027,36
55,eng040,bra015,37
55,ned010,eng028,12
55,eng040,eng029,72
56,swe002,fra014,50
56,hun001,fra015,38
56,can001,eng030,47
56,den001,eng031,32
57,svk001,esp017,82
57,por010,pol002,23
57,cmr001,eng032,46
57,por011,fra016,62
58,ger024,eng033,10
58,swe003,eng034,22
58,arg012,eng035,12
58,eng041,eng036,39
59,can002,ita007,14
59,ukr003,eng037,56
59,ukr004,eng038,41
59,swe004,fra017,26
60,uru007,jam000,58
60,ned011,arg011,9
60,mne001,eng039,29
60,mne002,col002,85
61,gha001,eng040,7
61,svk002,ned010,72
61,hun002,eng040,11
61,mar002,swe002,57
62,hun003,hun001,49
62,col003,can001,70
62,esp018,den001,33
62,can003,svk001,57
63,ned012,por010,88
