1,esp000,36,82,0,0,5
1,fra000,39,86,1,1,9
1,bra000,14,54,1,1,5
1,jap000,43,83,0,1,7
2,ukr000,12,56,0,0,6
2,eng000,27,85,1,0,5
5,ita000,8,51,0,1,5
5,gha000,23,72,1,1,4
5,ger000,25,81,1,1,9
7,nor000,20,64,0,1,5
7,bel000,41,74,1,0,5
7,bra001,36,73,1,0,7
8,eng001,8,80,1,1,7
8,bra002,36,79,0,1,9
8,eng002,37,70,1,0,5
8,srb000,22,60,0,1,5
8,bra003,9,51,1,1,6
8,eng003,26,63,1,0,5
9,esp001,41,76,1,1,4
10,eng004,31,64,0,1,4
12,eng005,3,85,0,1,6
12,arg000,26,61,0,1,6
12,ecu000,0,30,1,1,9
12,eng006,23,84,1,1,6
14,eng007,19,67,1,1,6
15,eng008,31,78,0,0,8
17,ukr001,32,84,0,0,9
17,sen000,18,68,1,0,9
18,bra004,20,78,0,1,8
18,ned000,36,78,0,1,4
19,eng009,15,45,1,1,9
20,sco000,19,51,1,1,7
20,kor000,25,90,1,0,8
20,arg001,44,89,0,1,7
20,col000,39,85,1,0,6
21,por000,19,61,0,0,7
22,egy000,22,70,0,1,5
22,ned001,18,90,0,1,4
23,hun000,38,84,1,0,9
24,eng010,27,76,0,0,8
24,eng011,4,53,1,1,6
25,uru000,39,81,0,1,4
25,bra005,14,47,1,1,7
25,por001,24,60,0,0,8
26,eng012,18,74,0,0,7
26,sui000,36,69,1,1,5
27,eng013,23,77,1,1,6
28,ned002,22,58,0,0,7
28,cro000,43,87,1,1,5
30,esp002,29,60,0,1,8
30,por002,26,67,1,0,9
30,bel001,30,63,0,1,8
31,eng014,40,71,0,1,6
31,eng015,12,76,0,1,8
32,bel002,23,73,0,0,5
33,arg002,29,89,1,0,8
33,nor001,10,59,1,1,7
34,cmr000,43,85,0,1,7
34,eng016,24,88,0,0,5
34,fra001,35,90,0,1,8
35,eng017,5,53,0,0,7
36,arg003,40,81,1,1,6
36,bra006,37,75,1,1,5
37,eng018,27,62,1,1,7
37,por003,32,66,0,1,4
37,arg004,38,68,0,1,6
37,eng019,14,47,0,0,5
37,den000,10,66,1,1,6
38,eng020,36,66,1,0,4
38,eng021,27,80,1,0,9
38,ita001,31,71,0,1,9
38,arg005,4,34,0,0,4
39,bra007,27,64,0,1,5
39,swe000,41,75,0,1,4
40,eng022,2,60,0,0,6
41,bra008,27,65,1,1,7
41,jap001,35,82,0,0,7
41,ger001,28,64,0,0,4
42,arg006,14,84,1,1,7
42,uru001,2,51,0,0,4
43,wal000,29,73,0,0,4
43,ukr002,0,72,0,0,7
43,ger002,1,54,1,1,6
43,fra002,19,52,0,1,4
44,esp003,10,46,1,1,5
44,fra003,22,73,0,1,8
44,fra004,14,74,0,1,8
45,uru002,10,85,1,0,7
45,ger003,6,50,1,1,5
46,eng023,27,76,0,1,9
47,cro001,19,50,0,1,9
48,bra009,25,70,1,0,4
48,bra010,5,48,0,1,7
49,bra011,1,74,1,0,4
49,aut000,29,75,0,0,5
50,ger004,19,52,1,0,5
50,esp004,6,80,1,1,7
51,uru003,28,67,0,1,5
52,fra005,41,79,0,1,9
52,por004,40,83,0,0,4
52,ger005,40,70,1,0,9
53,esp005,5,86,0,1,4
53,esp006,41,77,1,0,9
54,por005,14,50,1,0,7
54,ned003,11,65,1,0,5
54,bra012,34,65,1,1,4
55,esp007,19,77,0,1,5
55,pol000,11,72,1,0,4
56,slo000,37,73,0,1,8
56,esp008,16,77,1,0,6
56,uru004,12,45,1,1,5
57,uru005,38,89,0,1,4
57,mne000,3,48,0,0,6
57,arg007,37,87,0,1,9
57,esp009,43,75,1,0,7
57,esp010,34,74,1,1,4
58,esp011,44,82,0,0,9
58,fra006,4,34,1,1,4
59,esp012,36,84,1,1,8
59,ned004,28,58,1,0,5
59,arg008,38,73,0,0,6
59,ger006,29,87,1,0,7
61,fra007,38,81,0,0,5
61,kor001,23,71,1,1,5
61,ned005,25,70,1,1,7
62,eng024,20,73,1,1,7
63,can000,26,68,1,1,7
64,ger007,34,73,0,1,6
64,ger008,31,88,0,0,9
65,aut001,38,79,0,1,7
65,ger009,9,75,1,1,7
65,ger010,28,78,0,0,5
66,ger011,27,89,0,1,8
66,ger012,33,84,0,1,4
67,fra008,7,51,0,0,9
67,eng025,9,59,0,1,5
67,sui001,38,68,1,0,4
68,ger013,6,47,1,0,7
68,ger014,9,90,0,1,5
68,ned006,43,87,0,1,9
69,ger015,13,44,0,1,8
69,aut002,29,77,1,1,4
70,eng026,23,70,0,1,5
70,ger016,36,78,1,0,5
70,ger017,8,70,1,1,5
70,ger018,42,72,0,0,4
71,ger019,5,60,1,0,8
71,ger020,17,47,1,0,5
71,ger021,4,64,0,1,4
71,bur000,33,78,1,1,9
71,ecu001,35,90,1,0,9
72,sui002,39,85,1,1,4
72,esp013,30,86,1,1,8
72,ned007,44,81,1,0,6
72,ger022,32,84,0,0,8
73,cro002,15,74,1,1,8
74,ger023,6,73,0,1,4
74,mar000,42,90,0,0,9
74,sui003,32,79,1,1,5
75,fra009,16,58,1,0,9
75,ita002,7,57,0,0,9
75,ned008,8,50,1,1,4
75,tur000,24,56,1,1,8
76,col001,37,73,0,1,7
76,ned009,36,82,1,1,5
76,ita003,19,77,0,1,8
77,ita004,35,85,0,0,6
78,bra013,18,90,0,1,6
78,ita005,21,60,0,0,9
78,fra010,42,85,0,1,5
78,chi000,5,46,0,0,9
78,arg009,20,50,0,1,4
78,ita006,11,64,0,1,4
79,mar001,9,60,1,0,6
79,fra011,25,88,0,0,6
80,svk000,4,82,0,0,4
80,bra014,32,83,1,1,9
81,por006,6,70,1,0,7
81,por007,27,78,1,0,9
81,kor002,20,66,0,1,6
81,por008,22,61,1,0,4
82,fra012,16,66,1,0,9
83,fra013,18,82,0,0,6
83,esp014,22,86,1,1,8
84,uru006,17,85,0,1,5
84,esp015,33,72,1,0,4
84,por009,5,62,1,0,5
84,arg010,33,89,1,0,8
85,swe001,32,63,1,1,9
85,pol001,14,49,1,0,9
85,esp016,27,62,0,0,4
86,eng027,3,49,0,1,4
86,bra015,36,88,0,1,7
87,eng028,15,65,1,0,8
87,eng029,30,75,0,0,8
87,fra014,1,31,1,1,5
87,fra015,38,74,1,0,6
87,eng030,24,89,1,1,5
89,eng031,30,65,0,1,6
90,esp017,21,73,1,0,8
90,pol002,44,74,1,1,5
91,eng032,9,79,1,1,9
91,fra016,7,89,0,1,4
91,eng033,40,75,0,1,4
92,eng034,18,80,0,0,4
92,eng035,0,80,0,0,4
92,eng036,21,85,1,0,6
93,ita007,16,85,1,0,5
93,eng037,34,72,1,0,7
93,eng038,30,69,1,0,6
93,fra017,11,84,1,0,7
94,arg011,14,46,0,0,6
95,eng039,20,51,1,1,5
95,col002,31,78,1,1,9
96,ned010,31,80,1,1,6
97,eng040,28,74,1,0,5
97,swe002,39,86,0,0,6
97,hun001,12,45,0,0,4
97,can001,33,72,0,0,7
98,den001,23,64,0,0,7
98,svk001,24,88,1,1,5
98,por010,29,65,0,0,8
98,cmr001,11,90,1,0,8
99,por011,22,85,1,1,7
99,ger024,32,70,1,1,8
99,swe003,29,82,0,1,4
100,arg012,30,89,0,1,7
100,eng041,2,70,1,0,5
100,can002,21,57,1,0,9
100,ukr003,17,88,0,0,9
101,ukr004,38,88,0,1,8
101,swe004,33,88,1,1,8
101,uru007,28,59,0,1,5
102,ned011,44,76,1,0,4
102,mne001,29,72,0,0,6
102,mne002,16,57,1,1,6
103,gha001,34,73,0,1,8
104,svk002,16,79,1,0,8
104,hun002,35,71,1,1,4
104,mar002,9,81,0,0,6
104,hun003,3,43,1,1,8
105,col003,9,87,0,0,9
105,esp018,25,89,0,0,6
105,can003,3,70,0,0,7
105,ned012,7,81,0,1,6
105,aut003,27,83,0,1,7
106,chi001,44,77,0,0,9
106,ita008,21,66,1,1,5
106,cro003,34,67,1,1,5
106,sen001,10,43,0,0,4
106,ita009,25,57,0,0,5
107,por012,30,88,1,0,7
107,wal001,38,90,1,0,7
107,hun004,25,69,0,1,7
107,bel003,11,65,1,0,5
107,mne003,14,79,0,1,6
108,sui004,10,65,0,0,7
108,sen002,19,84,0,0,6
109,ecu002,8,52,0,0,9
109,aut004,33,87,0,1,7
110,svk003,6,56,0,0,6
110,ger025,14,58,0,1,9
110,egy001,34,73,1,1,4
111,den002,4,38,1,0,6
111,cro004,15,78,1,0,6
111,ger026,1,87,1,1,6
111,fra018,0,70,1,0,7
111,ger027,32,66,1,1,4
111,bra016,22,70,1,1,7
112,col004,41,71,1,0,4
112,cmr002,2,42,1,1,9
112,swe005,27,73,1,0,7
